"REF_DATE","GEO","DGUID","Indicators","Products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","Canada","2016A11124","Domestic demand","Beer, wine, and liquor from stores","Dollars","81","millions","6","v1001801267","1.3.30","607.4","","","","1"
"2014","Canada","2016A11124","Domestic demand","Urban transit and parking","Dollars","81","millions","6","v1001801268","1.3.31","160.4","","","","1"
"2014","Canada","2016A11124","Domestic demand","Miscellaneous products","Dollars","81","millions","6","v1001801269","1.3.32","4857.9","","","","1"
"2014","Canada","2016A11124","Exports","Total tourism expenditures","Dollars","81","millions","6","v1001801274","1.4.1","32668.7","","","","1"
"2014","Canada","2016A11124","Exports","Total tourism products","Dollars","81","millions","6","v1001801275","1.4.2","27715.3","","","","1"
"2014","Canada","2016A11124","Exports","Total transportation","Dollars","81","millions","6","v1001801276","1.4.3","11355.8","","","","1"
"2014","Canada","2016A11124","Exports","Passenger air transport","Dollars","81","millions","6","v1001801277","1.4.4","7737.9","","","","1"
"2014","Canada","2016A11124","Exports","Passenger rail transport","Dollars","81","millions","6","v1001801278","1.4.5","97.5","","","","1"
"2014","Canada","2016A11124","Exports","Passenger water transport","Dollars","81","millions","6","v1001801279","1.4.6","292.4","","","","1"
"2014","Canada","2016A11124","Exports","Interurban, charter and tour bus transport","Dollars","81","millions","6","v1001801280","1.4.7","362.0","","","","1"
"2014","Canada","2016A11124","Exports","Taxis","Dollars","81","millions","6","v1001801281","1.4.8","186.5","","","","1"
"2014","Canada","2016A11124","Exports","Vehicle rental","Dollars","81","millions","6","v1001801282","1.4.9","772.2","","","","1"
"2014","Canada","2016A11124","Exports","Vehicle repairs and parts","Dollars","81","millions","6","v1001801283","1.4.10","676.0","","","","1"
"2014","Canada","2016A11124","Exports","Vehicle fuel","Dollars","81","millions","6","v1001801284","1.4.11","1231.3","","","","1"
"2014","Canada","2016A11124","Exports","Total accommodation","Dollars","81","millions","6","v1001801285","1.4.12","7443.7","","","","1"
"2014","Canada","2016A11124","Exports","Hotels","Dollars","81","millions","6","v1001801286","1.4.13","6233.7","","","","1"
"2014","Canada","2016A11124","Exports","Motels","Dollars","81","millions","6","v1001801287","1.4.14","419.1","","","","1"
"2014","Canada","2016A11124","Exports","Camping","Dollars","81","millions","6","v1001801288","1.4.15","315.3","","","","1"
"2014","Canada","2016A11124","Exports","Other accommodation","Dollars","81","millions","6","v1001801289","1.4.16","475.6","","","","1"
"2014","Canada","2016A11124","Exports","Total food and beverage services","Dollars","81","millions","6","v1001801290","1.4.17","4798.1","","","","1"
"2014","Canada","2016A11124","Exports","Meals from accommodation","Dollars","81","millions","6","v1001801291","1.4.18","260.1","","","","1"
"2014","Canada","2016A11124","Exports","Meals from restaurants","Dollars","81","millions","6","v1001801292","1.4.19","3589.5","","","","1"
"2014","Canada","2016A11124","Exports","Alcoholic beverages from accommodation","Dollars","81","millions","6","v1001801293","1.4.20","143.5","","","","1"
"2014","Canada","2016A11124","Exports","Alcoholic beverages from restaurants","Dollars","81","millions","6","v1001801294","1.4.21","555.2","","","","1"
"2014","Canada","2016A11124","Exports","Meals and alcoholic beverages from other tourism industries","Dollars","81","millions","6","v1001801295","1.4.22","249.8","","","","1"
"2014","Canada","2016A11124","Exports","Total other tourism products","Dollars","81","millions","6","v1001801296","1.4.23","4117.7","","","","1"
"2014","Canada","2016A11124","Exports","Recreation and entertainment","Dollars","81","millions","6","v1001801302","1.4.24","2147.9","","","","1"
"2014","Canada","2016A11124","Exports","Travel services","Dollars","81","millions","6","v1001801303","1.4.25","1694.4","","","","1"
"2014","Canada","2016A11124","Exports","Convention fees","Dollars","81","millions","6","v1001801304","1.4.26","275.4","","","","1"
"2014","Canada","2016A11124","Exports","Pre-trip expenses","Dollars","81","millions","6","v1001801305","1.4.27","0.0","","","","1"
"2014","Canada","2016A11124","Exports","Total other products","Dollars","81","millions","6","v1001801297","1.4.28","4953.4","","","","1"
"2014","Canada","2016A11124","Exports","Groceries","Dollars","81","millions","6","v1001801298","1.4.29","1576.8","","","","1"
"2014","Canada","2016A11124","Exports","Beer, wine, and liquor from stores","Dollars","81","millions","6","v1001801299","1.4.30","329.4","","","","1"
"2014","Canada","2016A11124","Exports","Urban transit and parking","Dollars","81","millions","6","v1001801300","1.4.31","63.5","","","","1"
"2014","Canada","2016A11124","Exports","Miscellaneous products","Dollars","81","millions","6","v1001801301","1.4.32","2983.7","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Total tourism expenditures","Dollars","81","millions","6","v1001801433","1.5.1","12679.5","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Total tourism products","Dollars","81","millions","6","v1001801434","1.5.2","11104.3","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Total transportation","Dollars","81","millions","6","v1001801435","1.5.3","4907.2","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Passenger air transport","Dollars","81","millions","6","v1001801436","1.5.4","3277.0","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Passenger rail transport","Dollars","81","millions","6","v1001801437","1.5.5","33.1","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Passenger water transport","Dollars","81","millions","6","v1001801438","1.5.6","29.0","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Interurban, charter and tour bus transport","Dollars","81","millions","6","v1001801439","1.5.7","59.8","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Taxis","Dollars","81","millions","6","v1001801440","1.5.8","84.5","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Vehicle rental","Dollars","81","millions","6","v1001801441","1.5.9","272.5","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Vehicle repairs and parts","Dollars","81","millions","6","v1001801442","1.5.10","411.1","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Vehicle fuel","Dollars","81","millions","6","v1001801443","1.5.11","740.2","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Total accommodation","Dollars","81","millions","6","v1001801444","1.5.12","2152.4","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Hotels","Dollars","81","millions","6","v1001801445","1.5.13","1812.2","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Motels","Dollars","81","millions","6","v1001801446","1.5.14","131.5","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Camping","Dollars","81","millions","6","v1001801447","1.5.15","123.6","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Other accommodation","Dollars","81","millions","6","v1001801448","1.5.16","85.1","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Total food and beverage services","Dollars","81","millions","6","v1001801449","1.5.17","2028.0","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Meals from accommodation","Dollars","81","millions","6","v1001801450","1.5.18","113.8","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Meals from restaurants","Dollars","81","millions","6","v1001801451","1.5.19","1509.2","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Alcoholic beverages from accommodation","Dollars","81","millions","6","v1001801452","1.5.20","63.3","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Alcoholic beverages from restaurants","Dollars","81","millions","6","v1001801453","1.5.21","234.9","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Meals and alcoholic beverages from other tourism industries","Dollars","81","millions","6","v1001801454","1.5.22","106.8","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Total other tourism products","Dollars","81","millions","6","v1001801455","1.5.23","2016.7","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Recreation and entertainment","Dollars","81","millions","6","v1001801461","1.5.24","617.6","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Travel services","Dollars","81","millions","6","v1001801462","1.5.25","1332.9","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Convention fees","Dollars","81","millions","6","v1001801463","1.5.26","66.2","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Pre-trip expenses","Dollars","81","millions","6","v1001801464","1.5.27","0.0","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Total other products","Dollars","81","millions","6","v1001801456","1.5.28","1575.2","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Groceries","Dollars","81","millions","6","v1001801457","1.5.29","605.2","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Beer, wine, and liquor from stores","Dollars","81","millions","6","v1001801458","1.5.30","127.6","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Urban transit and parking","Dollars","81","millions","6","v1001801459","1.5.31","48.8","","","","1"
"2014","Canada","2016A11124","Interprovincial demand (exports)","Miscellaneous products","Dollars","81","millions","6","v1001801460","1.5.32","793.6","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Total tourism expenditures","Dollars","81","millions","6","v1001801465","1.6.1","19989.4","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Total tourism products","Dollars","81","millions","6","v1001801466","1.6.2","16611.3","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Total transportation","Dollars","81","millions","6","v1001801467","1.6.3","6448.7","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Passenger air transport","Dollars","81","millions","6","v1001801468","1.6.4","4460.9","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Passenger rail transport","Dollars","81","millions","6","v1001801469","1.6.5","64.4","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Passenger water transport","Dollars","81","millions","6","v1001801470","1.6.6","263.4","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Interurban, charter and tour bus transport","Dollars","81","millions","6","v1001801471","1.6.7","302.3","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Taxis","Dollars","81","millions","6","v1001801472","1.6.8","102.0","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Vehicle rental","Dollars","81","millions","6","v1001801473","1.6.9","499.7","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Vehicle repairs and parts","Dollars","81","millions","6","v1001801474","1.6.10","264.9","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Vehicle fuel","Dollars","81","millions","6","v1001801475","1.6.11","491.1","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Total accommodation","Dollars","81","millions","6","v1001801476","1.6.12","5291.4","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Hotels","Dollars","81","millions","6","v1001801477","1.6.13","4421.6","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Motels","Dollars","81","millions","6","v1001801478","1.6.14","287.6","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Camping","Dollars","81","millions","6","v1001801479","1.6.15","191.7","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Other accommodation","Dollars","81","millions","6","v1001801480","1.6.16","390.5","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Total food and beverage services","Dollars","81","millions","6","v1001801481","1.6.17","2770.2","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Meals from accommodation","Dollars","81","millions","6","v1001848978","1.6.18","146.2","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Meals from restaurants","Dollars","81","millions","6","v1001801482","1.6.19","2080.4","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Alcoholic beverages from accommodation","Dollars","81","millions","6","v1001801483","1.6.20","80.2","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Alcoholic beverages from restaurants","Dollars","81","millions","6","v1001801484","1.6.21","320.4","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Meals and alcoholic beverages from other tourism industries","Dollars","81","millions","6","v1001801485","1.6.22","143.0","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Total other tourism products","Dollars","81","millions","6","v1001801486","1.6.23","2101.0","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Recreation and entertainment","Dollars","81","millions","6","v1001801492","1.6.24","1530.3","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Travel services","Dollars","81","millions","6","v1001801493","1.6.25","361.5","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Convention fees","Dollars","81","millions","6","v1001801494","1.6.26","209.2","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Pre-trip expenses","Dollars","81","millions","6","v1001801495","1.6.27","0.0","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Total other products","Dollars","81","millions","6","v1001801487","1.6.28","3378.1","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Groceries","Dollars","81","millions","6","v1001801488","1.6.29","971.6","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Beer, wine, and liquor from stores","Dollars","81","millions","6","v1001801489","1.6.30","201.7","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Urban transit and parking","Dollars","81","millions","6","v1001801490","1.6.31","14.7","","","","1"
"2014","Canada","2016A11124","International demand (exports)","Miscellaneous products","Dollars","81","millions","6","v1001801491","1.6.32","2190.1","","","","1"
"2014","Canada","2016A11124","Imports","Total tourism expenditures","Dollars","81","millions","6","v1001801306","1.7.1","60274.6","","","","1"
"2014","Canada","2016A11124","Imports","Total tourism products","Dollars","81","millions","6","v1001801307","1.7.2","51880.7","","","","1"
"2014","Canada","2016A11124","Imports","Total transportation","Dollars","81","millions","6","v1001801308","1.7.3","20128.2","","","","1"
"2014","Canada","2016A11124","Imports","Passenger air transport","Dollars","81","millions","6","v1001801309","1.7.4","","..","","","1"
"2014","Canada","2016A11124","Imports","Passenger rail transport","Dollars","81","millions","6","v1001801310","1.7.5","","..","","","1"
"2014","Canada","2016A11124","Imports","Passenger water transport","Dollars","81","millions","6","v1001801311","1.7.6","","..","","","1"
"2014","Canada","2016A11124","Imports","Interurban, charter and tour bus transport","Dollars","81","millions","6","v1001801312","1.7.7","","..","","","1"
